,i,dt,mu_val,mu_cur,co_config,event name
0,184,2.2349017576547905e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,185,372384600855085.1,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,186,1.2781598480678835e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,187,167686977781638.8,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,188,1.449969728404093e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,189,895211192434573.2,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,190,1.5485935470460288e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,191,149984296226480.53,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,192,1.4584335082342836e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,193,253230322641424.94,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,194,6.236164997809073e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,195,92382976704067.36,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,196,3.285262901755365e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,197,168659431084174.56,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,198,1.1817554169434037e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,199,54280162150448.75,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,200,2.767289738917436e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,201,43407883738557.125,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,202,1.7348945554773664e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,203,102472933815744.02,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,204,5.452024708077052e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,205,879235092635029.6,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,206,1.6750885513961158e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,207,398363148804625.7,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,208,1.072062345816573e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,209,269633665490406.22,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,210,1.2158174161094284e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,211,451063942569153.0,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,212,9.262695806355599e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,213,20106280737409.168,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,214,8.156524830068244e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,215,48730206556000.945,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,216,7.899950634252688e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,217,30154360210301.85,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,218,3.3966981614380766e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,219,54627235657800.18,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,220,1.9109123129826355e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,221,131811674088601.03,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,222,1.8644246363147257e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,223,22094915404080.906,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,224,9.122249137179386e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,225,300685423252751.6,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,226,1.8729845424474456e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,227,417778561072746.4,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,228,2.294331685324952e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,229,435123421984004.0,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,230,3.3511262118051646e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,231,95793490373856.94,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,232,3.605282499597958e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,233,202511047715478.6,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,234,9.024195744043745e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,235,159091985352341.12,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,236,9.929874727496528e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,237,93499091801166.19,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,238,2.5938935142353983e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,239,257493136123845.1,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,240,1.6148491355003772e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,241,89999089666941.19,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,242,2.627991582260574e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,243,266509125453054.94,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,244,1.19070116898196e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,245,117269252653281.92,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,246,5.078398615400367e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,247,96069573042597.77,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,248,2.2189096326139782e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,249,53625115092644.766,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,250,7.542762089527974e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,251,174362685391907.16,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,252,1.0543719091639776e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,253,140341566230538.31,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,254,1.1771405290585748e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,255,92402154934410.45,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,256,9.458136948371478e-16,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,257,115773015881911.53,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,258,8.16464502448797e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,259,103340343134523.78,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,260,1.0508757883311123e-14,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,261,424924668319196.8,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,262,5.421651035846482e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
0,263,20589509878405.95,-9.95046713067594,-14.306546389013468,"[15, 10, 13, 16, 0]",des
0,264,8.264848693281618e-15,-10.797184384713642,-15.15326364305117,"[15, 10, 13, 16, 0, 2]",ads
