Filename,AtomsObject,Eads,NPd,SiteType,RealSite,CN1,CN2,GCN,Z,Charge,Nsites,Pd1C,Pd2C,Pd3C,CeCN1,OCN1
pd16-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd16', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.29,16,hollow,hollow,4.632126976450891,0.6538340753427097,3.3181818181818183,6.477749621728764,0.12300000000000001,3,1.9887391226919946,1.9999955803234988,2.1373612109300537,2.011874251268288,1.7091225243946337
pd17-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd17', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.44,17,bridge,bridge,6.000000000000001,2.0000000000000004,4.5,7.834941559482949,-0.01,2,1.9730058976028098,1.9763169449426383,3.2781623852895465,0.0,0.0
pd17-ceria-a2.CONTCAR,"Atoms(symbols='CCe32O65Pd17', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-1.52,17,top,top,3.0,0.0,4.416666666666667,5.968547826863179,0.18,1,1.8796577018271818,3.4745930558283797,4.378568023492151,3.0,3.0
pd17-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd17', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.33,17,hollow,hollow,4.643743195702154,0.6587392887192254,3.590909090909091,6.461347928917224,0.12,3,2.0000919249187734,2.000759809066903,2.12817691658353,2.002575988633433,1.6913074633868024
pd18-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd18', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.33,18,hollow,hollow,4.644673006241602,0.6600766306091831,3.9545454545454546,6.447525096521774,0.113,3,1.9867515339578117,1.9985535395866694,2.1783727804039197,1.9933293432421577,1.6842132225865034
pd19-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd19', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.08,19,hollow,hollow,4.97590414206473,0.6586347140215767,4.363636363636363,6.453723256204424,0.11599999999999999,3,1.9839791290487296,2.0011705259613994,2.201574154207003,1.9949143451741926,1.6890673063266677
pd2-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd2', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.67,2,top,top,1.0,0.0,0.0,5.899449459068239,0.31,1,1.846344599504595,3.4028067063897667,0.0,3.0,1.0
pd2-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd2', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.98,2,bridge,bridge,1.0,0.0,0.0,5.724382390179014,0.39,2,1.9822764383794804,1.983808209942654,0.0,3.0,1.0
pd20-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd20', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.0,20,hollow,hollow,4.976634636341254,0.6588782121137516,4.636363636363637,6.444160010799334,0.113,3,1.9914443922217349,2.006739780662176,2.189550209393616,1.9954290750451351,1.6885083886737897
pd20-ceria-im6-CO-CONTCAR,"Atoms(symbols='CCe32O65Pd20', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-1.63,20,top,top,3.0,0.0,5.25,12.102249162910685,0.0,1,1.8934239326069264,4.232392487278415,4.283876354931955,0.0,0.0
